,timestamp,gpu_util,gpu_mem_used
150,1736122087.0393627,"[97, 97, 94, 97, 97, 97]","[28359327744, 34113912832, 28608888832, 33591721984, 32870301696, 29355474944]"
151,1736122088.0675893,"[94, 97, 94, 94, 97, 97]","[28359327744, 34113912832, 29581967360, 34237644800, 32870301696, 29355474944]"
152,1736122089.0705085,"[97, 97, 96, 97, 97, 97]","[28359327744, 34113912832, 29758128128, 34237644800, 32870301696, 29355474944]"
153,1736122090.0738833,"[96, 97, 97, 96, 97, 97]","[28359327744, 34113912832, 30697652224, 34237644800, 33166000128, 29355474944]"
154,1736122091.0763006,"[98, 96, 97, 97, 95, 95]","[28359327744, 23869325312, 30697652224, 34237644800, 33166000128, 29355474944]"
155,1736122092.0788903,"[0, 0, 0, 0, 0, 0]","[27971354624, 25131810816, 30460674048, 34000666624, 32954187776, 29143662592]"
156,1736122093.080411,"[0, 0, 0, 0, 0, 0]","[27971354624, 25131810816, 30460674048, 34000666624, 32954187776, 29143662592]"
157,1736122094.0818758,"[0, 0, 0, 0, 0, 0]","[27971354624, 25131810816, 30460674048, 34000666624, 32954187776, 29143662592]"
158,1736122095.0832276,"[0, 10, 4, 0, 0, 8]","[27828748288, 25068896256, 30318067712, 33858060288, 32811581440, 29001056256]"
159,1736122096.109776,"[0, 0, 0, 0, 0, 0]","[27828748288, 24989204480, 30318067712, 33858060288, 32811581440, 29001056256]"
160,1736122097.1112232,"[0, 0, 0, 0, 0, 0]","[27828748288, 24989204480, 30318067712, 33858060288, 32811581440, 29001056256]"
161,1736122098.1127646,"[0, 0, 0, 0, 0, 0]","[27828748288, 24989204480, 30318067712, 33858060288, 32811581440, 29001056256]"
162,1736122099.1142673,"[0, 0, 0, 0, 0, 0]","[291045376, 291045376, 291045376, 291045376, 291045376, 291045376]"
