,policy,seconds,avg_gpu_util,avg_gpu_mem_used,cpu_util,cpu_mem_used
213,deepspeed_policy,217.13151502609253,77.875,19822870528.0,12.2,76516777984
214,deepspeed_policy,218.1405735015869,83.5,19822870528.0,12.4,76541546496
215,deepspeed_policy,219.1510889530182,84.75,19822870528.0,12.0,76518891520
216,deepspeed_policy,220.15974712371826,46.5,19822870528.0,11.9,76518625280
217,deepspeed_policy,221.16340708732605,70.375,19822870528.0,10.8,76519350272
218,deepspeed_policy,222.16995668411255,91.875,19822870528.0,12.6,76519780352
219,deepspeed_policy,223.1825976371765,89.125,19822870528.0,12.6,76520243200
220,deepspeed_policy,224.2726435661316,87.5,19822870528.0,12.1,76529188864
221,deepspeed_policy,225.2905788421631,0.0,19822870528.0,11.7,76529680384
222,deepspeed_policy,226.29432582855225,75.875,19822870528.0,11.3,76529672192
223,deepspeed_policy,227.32570004463196,93.75,19822870528.0,12.5,76533665792
224,deepspeed_policy,228.32946228981018,92.125,19822870528.0,12.1,76533149696
225,deepspeed_policy,229.33303308486938,64.25,19822870528.0,12.5,76526215168
226,deepspeed_policy,230.3581166267395,0.0,19822870528.0,10.9,76526215168
227,deepspeed_policy,231.36185693740845,91.875,19822870528.0,11.6,76526473216
228,deepspeed_policy,232.36700916290283,94.5,19822870528.0,12.1,76526473216
229,deepspeed_policy,233.38485503196716,95.5,19823132672.0,11.6,76526473216
230,deepspeed_policy,234.3944866657257,65.625,17780244480.0,11.5,76526215168
231,deepspeed_policy,235.43580031394958,0.0,17918656512.0,10.8,76526452736
232,deepspeed_policy,236.43951272964478,93.25,17920753664.0,11.8,76525420544
233,deepspeed_policy,237.45650959014893,90.5,17921277952.0,12.3,76525674496
234,deepspeed_policy,238.46411538124084,90.375,17921277952.0,11.9,76525674496
235,deepspeed_policy,239.47187066078186,65.0,17921277952.0,12.4,76528771072
236,deepspeed_policy,240.4792914390564,9.125,17921277952.0,10.4,76528611328
237,deepspeed_policy,241.48300576210022,77.25,17921277952.0,12.2,76528279552
238,deepspeed_policy,242.48650336265564,82.875,17921277952.0,12.1,76528279552
239,deepspeed_policy,243.49105644226074,86.875,17921277952.0,11.6,76527247360
240,deepspeed_policy,244.52143692970276,44.25,17921277952.0,12.0,76526473216
241,deepspeed_policy,245.52521657943726,71.75,17921277952.0,10.7,76526473216
242,deepspeed_policy,246.5790057182312,85.625,17921277952.0,12.1,76525948928
243,deepspeed_policy,247.60710787773132,83.625,17921540096.0,12.1,76525232128
244,deepspeed_policy,248.69328355789185,76.375,17921540096.0,11.7,76524711936
245,deepspeed_policy,249.79060244560242,0.0,17921540096.0,11.6,76516438016
246,deepspeed_policy,250.79442477226257,76.625,17921540096.0,11.1,76516913152
247,deepspeed_policy,251.84921884536743,94.875,17921540096.0,12.2,76516913152
248,deepspeed_policy,252.85276746749878,92.0,17921540096.0,12.1,76516134912
249,deepspeed_policy,253.8594765663147,63.625,17921540096.0,11.9,76517601280
250,deepspeed_policy,254.91630363464355,0.0,17921540096.0,11.1,76518293504
251,deepspeed_policy,255.92027115821838,91.25,17921540096.0,12.1,76518653952
252,deepspeed_policy,256.93822503089905,91.75,17921540096.0,12.7,76520316928
253,deepspeed_policy,257.9522895812988,96.5,17921540096.0,12.2,76519530496
254,deepspeed_policy,258.95711302757263,61.25,17921540096.0,12.4,76530307072
255,deepspeed_policy,260.00883316993713,0.0,17921540096.0,11.0,76525166592
256,deepspeed_policy,261.0141532421112,72.875,17921540096.0,12.1,76517535744
257,deepspeed_policy,262.0524592399597,76.625,17921540096.0,12.2,76517535744
258,deepspeed_policy,263.10206365585327,80.125,17921540096.0,11.7,76517535744
259,deepspeed_policy,264.18652296066284,33.875,17921540096.0,11.9,76517535744
260,deepspeed_policy,265.1902344226837,86.5,17921540096.0,10.6,76517535744
261,deepspeed_policy,266.19804525375366,89.375,17921540096.0,12.2,76518051840
262,deepspeed_policy,267.2087068557739,89.375,17921540096.0,12.0,76517793792
263,deepspeed_policy,268.2126884460449,87.0,17921540096.0,11.7,76517789696
