,gpu_util
283,"[90, 95, 91, 100, 91, 100, 98, 96]"
284,"[82, 98, 86, 98, 90, 89, 89, 89]"
285,"[0, 0, 0, 0, 0, 0, 0, 0]"
286,"[77, 93, 61, 92, 78, 78, 80, 77]"
287,"[98, 91, 86, 93, 98, 76, 93, 88]"
288,"[98, 98, 75, 100, 92, 100, 91, 77]"
289,"[61, 67, 49, 69, 54, 50, 59, 56]"
290,"[0, 0, 0, 0, 0, 0, 0, 0]"
291,"[89, 99, 98, 93, 92, 100, 90, 100]"
292,"[90, 100, 87, 100, 79, 97, 91, 93]"
293,"[100, 92, 88, 91, 89, 91, 92, 90]"
294,"[56, 71, 60, 64, 58, 69, 63, 73]"
295,"[0, 0, 0, 0, 0, 0, 50, 0]"
296,"[88, 73, 67, 72, 86, 70, 89, 78]"
297,"[88, 77, 83, 72, 98, 76, 89, 85]"
298,"[70, 93, 82, 100, 74, 93, 74, 92]"
299,"[29, 55, 40, 62, 51, 47, 33, 55]"
300,"[100, 100, 17, 50, 76, 67, 93, 60]"
301,"[97, 88, 86, 88, 98, 90, 100, 88]"
302,"[100, 90, 87, 92, 91, 79, 100, 74]"
303,"[90, 87, 70, 88, 98, 89, 95, 83]"
304,"[0, 0, 0, 0, 0, 0, 0, 0]"
305,"[70, 78, 62, 79, 89, 77, 74, 78]"
306,"[87, 100, 98, 95, 96, 98, 78, 98]"
307,"[81, 99, 98, 90, 100, 98, 73, 98]"
308,"[57, 75, 63, 63, 55, 71, 58, 72]"
309,"[0, 0, 0, 0, 0, 0, 0, 0]"
310,"[89, 90, 86, 90, 100, 90, 100, 90]"
311,"[93, 93, 97, 91, 99, 100, 93, 90]"
312,"[100, 99, 95, 100, 89, 90, 91, 100]"
313,"[64, 64, 49, 86, 63, 56, 70, 73]"
314,"[0, 0, 0, 0, 0, 0, 0, 0]"
315,"[95, 100, 98, 72, 98, 100, 93, 90]"
316,"[100, 100, 100, 64, 84, 93, 83, 100]"
317,"[90, 92, 88, 92, 89, 91, 91, 90]"
318,"[72, 75, 65, 69, 51, 64, 55, 69]"
319,"[0, 9, 0, 30, 0, 0, 34, 0]"
320,"[70, 77, 60, 88, 85, 77, 89, 72]"
321,"[71, 83, 66, 89, 98, 88, 98, 70]"
322,"[100, 94, 93, 72, 72, 89, 75, 100]"
323,"[58, 57, 37, 26, 50, 54, 57, 15]"
324,"[31, 100, 0, 96, 75, 83, 94, 95]"
325,"[79, 73, 67, 95, 99, 90, 97, 85]"
326,"[91, 74, 73, 100, 93, 71, 74, 93]"
327,"[90, 83, 82, 75, 64, 79, 68, 70]"
328,"[0, 0, 0, 0, 0, 0, 0, 0]"
329,"[77, 79, 71, 73, 78, 76, 81, 78]"
330,"[89, 100, 98, 94, 98, 98, 98, 84]"
331,"[78, 98, 98, 91, 100, 98, 98, 75]"
332,"[63, 74, 59, 57, 73, 59, 73, 51]"
333,"[0, 0, 0, 0, 0, 0, 0, 0]"
334,"[100, 89, 86, 89, 88, 90, 88, 100]"
335,"[93, 91, 90, 90, 94, 90, 89, 97]"
336,"[90, 99, 97, 100, 95, 100, 100, 91]"
337,"[71, 51, 39, 64, 58, 72, 62, 73]"
338,"[0, 0, 0, 0, 0, 0, 0, 0]"
339,"[69, 73, 66, 72, 71, 75, 85, 72]"
340,"[70, 74, 61, 79, 71, 86, 99, 73]"
341,"[100, 74, 62, 96, 70, 85, 76, 78]"
342,"[11, 38, 26, 11, 20, 54, 56, 55]"
343,"[93, 94, 55, 93, 100, 90, 93, 74]"
344,"[70, 99, 99, 73, 84, 93, 100, 97]"
345,"[78, 100, 100, 76, 87, 90, 93, 91]"
346,"[79, 90, 86, 74, 77, 98, 94, 98]"
347,"[0, 0, 0, 0, 0, 0, 0, 0]"
348,"[100, 100, 91, 100, 91, 93, 100, 100]"
349,"[80, 100, 61, 78, 73, 70, 74, 72]"
350,"[88, 74, 62, 86, 80, 72, 74, 72]"
351,"[83, 74, 64, 58, 77, 70, 69, 65]"
352,"[0, 0, 0, 0, 0, 0, 0, 0]"
353,"[93, 100, 99, 100, 91, 83, 100, 100]"
354,"[70, 74, 65, 73, 71, 69, 74, 77]"
355,"[70, 81, 76, 71, 71, 71, 75, 70]"
356,"[64, 58, 41, 65, 64, 68, 64, 73]"
357,"[0, 0, 0, 0, 0, 0, 0, 0]"
358,"[84, 89, 84, 88, 95, 92, 89, 88]"
359,"[100, 90, 87, 96, 90, 90, 91, 90]"
360,"[98, 100, 100, 100, 100, 100, 100, 100]"
361,"[49, 75, 65, 55, 59, 63, 69, 73]"
362,"[0, 0, 0, 0, 0, 0, 0, 0]"
363,"[70, 84, 73, 72, 71, 69, 72, 71]"
364,"[70, 97, 78, 73, 71, 71, 100, 76]"
365,"[94, 91, 81, 91, 96, 94, 80, 100]"
366,"[71, 58, 41, 43, 73, 70, 56, 69]"
367,"[12, 100, 16, 100, 10, 32, 100, 22]"
368,"[87, 91, 88, 100, 88, 88, 90, 88]"
369,"[94, 91, 87, 100, 99, 100, 89, 96]"
370,"[89, 99, 98, 89, 90, 90, 98, 90]"
371,"[0, 0, 0, 0, 0, 0, 0, 0]"
372,"[76, 93, 92, 78, 70, 77, 95, 78]"
373,"[97, 74, 60, 76, 89, 90, 75, 90]"
374,"[94, 74, 62, 71, 78, 86, 74, 79]"
375,"[68, 74, 63, 75, 53, 58, 72, 55]"
376,"[0, 0, 0, 0, 0, 0, 0, 0]"
377,"[89, 90, 86, 100, 88, 89, 90, 88]"
378,"[95, 91, 95, 100, 83, 90, 99, 80]"
379,"[90, 91, 88, 91, 89, 96, 91, 91]"
380,"[59, 64, 54, 75, 51, 55, 71, 55]"
381,"[0, 0, 0, 0, 0, 35, 0, 0]"
382,"[70, 74, 60, 74, 86, 88, 74, 88]"
383,"[68, 72, 61, 84, 98, 88, 74, 94]"
384,"[100, 100, 100, 93, 70, 69, 97, 72]"
385,"[60, 60, 44, 58, 37, 15, 55, 41]"
386,"[96, 94, 86, 77, 90, 93, 94, 91]"
387,"[82, 81, 75, 73, 100, 92, 76, 100]"
388,"[92, 89, 86, 74, 100, 97, 81, 98]"
389,"[86, 83, 81, 70, 90, 91, 82, 91]"
390,"[0, 0, 0, 0, 0, 0, 0, 0]"
391,"[77, 78, 61, 77, 70, 77, 80, 71]"
392,"[98, 100, 98, 98, 77, 93, 98, 75]"
393,"[94, 99, 93, 100, 100, 82, 98, 100]"
394,"[54, 66, 44, 73, 50, 60, 66, 63]"
