iteration,throughput (toks/s),scheduling_policy
123,16.866928380903296,exflow
124,12.060327458439298,exflow
125,13.482777875627924,exflow
126,11.701249200549311,exflow
127,13.274347892308025,exflow
128,14.094535025088879,exflow
129,16.02496412171633,exflow
130,12.446027478286931,exflow
131,15.508379812528222,exflow
132,12.647453536327571,exflow
133,15.29130625192825,exflow
134,12.853264349000796,exflow
135,15.624919829059722,exflow
136,11.585335006741394,exflow
137,13.23693749953154,exflow
138,12.216718905002283,exflow
139,18.609009342097114,exflow
140,16.870320487047938,exflow
141,12.487005553843703,exflow
142,13.301504146574446,exflow
143,17.86440181058817,exflow
144,15.491351227571672,exflow
145,10.871192466832124,exflow
146,12.375462128342592,exflow
147,12.02610341202332,exflow
148,13.966259531944448,exflow
149,13.149567976507639,exflow
150,14.519838489755454,exflow
151,15.710881793922308,exflow
152,15.788505572614161,exflow
153,15.558363436168285,exflow
154,14.530309484303492,exflow
155,14.256665969860588,exflow
156,16.476047580272272,exflow
157,14.477122193064066,exflow
158,15.313973490015739,exflow
159,14.685284924734178,exflow
160,13.257101918042027,exflow
161,15.559383085869031,exflow
162,16.587750711374678,exflow
163,12.24011830673126,exflow
164,12.421137551882094,exflow
165,17.08576208218821,exflow
166,14.813876200607988,exflow
167,15.373147963613292,exflow
168,17.436374904775153,exflow
169,16.63926264660742,exflow
170,14.048526257923669,exflow
171,13.065789273865214,exflow
172,12.823371045073069,exflow
173,12.42481094009144,exflow
174,12.758122485625718,exflow
175,11.084168876417436,exflow
176,11.738463104639036,exflow
177,14.446333756500708,exflow
178,12.134327159968494,exflow
179,13.153275856819793,exflow
0,30.038900609550236,harmony
1,31.072740273765152,harmony
2,30.895292220808784,harmony
3,28.652572568301583,harmony
4,29.898893604887743,harmony
5,29.102223489142894,harmony
6,29.82107121047374,harmony
7,29.685138678412446,harmony
8,30.719380090634615,harmony
9,29.875782132368293,harmony
10,30.073943223697317,harmony
11,30.026629565634476,harmony
12,28.057672153518883,harmony
13,29.680597136606107,harmony
14,29.252158587364026,harmony
15,30.16639853134666,harmony
16,29.24523868908573,harmony
17,28.572719942121275,harmony
18,28.908488575080884,harmony
19,29.62554308620965,harmony
20,29.785345925411324,harmony
21,29.64464978305611,harmony
22,29.503408692031876,harmony
23,28.04333090430025,harmony
24,29.860964178547054,harmony
25,29.459188664583067,harmony
26,31.487819494931237,harmony
27,28.85074687662593,harmony
28,30.37875813916432,harmony
29,28.64488389807795,harmony
30,30.56038290001282,harmony
31,29.65903094145741,harmony
32,29.05900931320713,harmony
33,28.320389731620622,harmony
34,29.071472804110364,harmony
35,30.42672331566673,harmony
36,28.976571909024287,harmony
37,29.15797439672744,harmony
38,29.706651917115224,harmony
39,31.092579827820362,harmony
40,29.375309527155004,harmony
41,29.331548225466292,harmony
42,29.71292362488603,harmony
43,29.464969271496194,harmony
44,28.811295627243386,harmony
45,28.854675095810343,harmony
46,29.810929496913356,harmony
47,29.16497557864567,harmony
48,30.589783609665446,harmony
49,29.28471558667662,harmony
50,30.267146251626052,harmony
51,29.621897946398068,harmony
52,28.88047283411884,harmony
53,29.886203159926072,harmony
54,28.49129904260015,harmony
55,28.3694164115829,harmony
56,29.41733168683301,harmony
57,29.92089910160359,harmony
58,28.897105909370165,harmony
59,29.905271188495078,harmony
60,28.764479745294384,harmony
61,30.364325589266112,harmony
62,30.422505993786952,harmony
63,30.041519416635836,harmony
64,28.86291749424834,harmony
65,27.535332273916982,harmony
66,28.302126838986702,harmony
67,29.47211112372908,harmony
68,29.523175271029626,harmony
69,30.697076493475485,harmony
70,30.595289973467448,harmony
71,29.229936038015676,harmony
72,29.87637400368664,harmony
73,30.12031566499487,harmony
74,30.371456532709853,harmony
75,29.488341157159788,harmony
76,28.26162441815924,harmony
77,28.909695520095237,harmony
78,30.16491714901872,harmony
79,29.6953756446377,harmony
80,27.896743443823492,harmony
81,29.67678751481294,harmony
82,30.82812847521906,harmony
83,30.604924484570667,harmony
84,30.090962245538517,harmony
85,29.954738610240565,harmony
86,28.983178516468886,harmony
87,29.043182322842586,harmony
88,28.05997742257643,harmony
89,29.155534804873067,harmony
90,29.07956232445154,harmony
91,27.81416060114032,harmony
92,30.222531396394505,harmony
93,29.881185213572163,harmony
94,30.189528533864806,harmony
95,29.27574843151683,harmony
96,29.719960251666617,harmony
97,29.09935368725427,harmony
98,29.32473914916761,harmony
99,28.829915227187097,harmony
100,29.502031696867025,harmony
101,27.92983559157546,harmony
102,28.947158786760948,harmony
103,30.155803804214628,harmony
104,29.069117968428003,harmony
105,29.070588121901437,harmony
106,30.635226770403857,harmony
107,30.01067742615291,harmony
108,29.870774332405713,harmony
109,29.00783151226251,harmony
110,29.648271053373424,harmony
111,28.64348908728331,harmony
112,30.547241867226266,harmony
113,30.517521534520867,harmony
114,30.126650569568014,harmony
115,29.46526898068977,harmony
116,29.976788478373052,harmony
117,30.01671678980145,harmony
118,29.97885965459251,harmony
119,29.08742310658013,harmony
120,29.484040978282483,harmony
121,30.32233056501016,harmony
122,30.34002745161156,harmony
123,30.129158449461684,harmony
124,28.310918432610546,harmony
125,29.42891394791222,harmony
126,28.939845773727054,harmony
127,29.06092728777481,harmony
128,29.879434596371656,harmony
129,29.739231800319384,harmony
130,28.19624247512383,harmony
131,30.004138548798515,harmony
132,29.711484251967917,harmony
133,30.131069226940458,harmony
134,28.94446720982251,harmony
135,30.131700569519435,harmony
136,28.033598975662553,harmony
137,29.090309470690237,harmony
138,30.017354538123676,harmony
139,30.69651367283874,harmony
140,30.43714001695592,harmony
141,29.765559099451295,harmony
142,29.752969472874508,harmony
143,30.945192666020432,harmony
144,29.329217296314784,harmony
145,27.696506604961,harmony
146,29.072166524977227,harmony
147,28.158639478170304,harmony
148,29.130876799539987,harmony
149,30.0337584532912,harmony
150,29.52210703693614,harmony
151,30.272538202002128,harmony
152,30.823541957138197,harmony
153,30.08587193868493,harmony
154,29.416300110369612,harmony
155,28.80253360146815,harmony
156,30.823625722309384,harmony
157,30.55918958565626,harmony
158,30.538088313344627,harmony
159,30.39153321902665,harmony
160,28.779647457288398,harmony
161,30.111498336009802,harmony
162,30.036321469272877,harmony
