,dataset,iteration,layer_idx,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
52,bookcorpus,12,2,4628,4432,199,264,449,1160,4286,29,195,2203,159,1000,757,1004,2587,1563,657,580,1212,788,975,2409,1448,7357,153,2108,954,5803,12,3,3330,240,656,1675,55,1566,104,1070,477,341,2,5611,282,909,442,7504,307,274,145,4121,427,484,0,1087,64,3155,3869,5181,1000,4552
53,bookcorpus,13,2,4125,4191,185,482,503,1281,4084,23,419,2412,206,1232,813,1343,2330,1616,542,540,1109,983,783,2122,1129,7083,101,2623,1191,5362,17,8,3496,159,916,1890,25,1132,97,854,686,400,23,4831,224,863,397,7334,613,258,96,5138,529,921,0,959,39,2965,2851,5386,1331,5053
54,bookcorpus,14,2,4899,3845,80,396,494,1259,4207,81,375,2031,226,1142,1024,1428,2265,1674,702,596,1062,885,825,2557,1118,7141,185,2605,860,6005,55,1,3070,175,357,2094,21,1012,69,924,471,286,28,4941,209,999,388,6872,525,240,113,5691,850,937,0,766,56,2982,2690,5293,1296,4926
55,bookcorpus,15,2,4911,3971,104,296,366,923,4558,51,385,1963,146,1413,958,1252,1634,1361,705,389,955,651,846,1727,776,7423,185,2842,590,6108,35,59,3482,343,926,1931,47,1262,114,720,572,481,4,4280,225,758,462,7534,591,237,66,5254,365,645,0,763,53,4155,3067,5462,1274,5648
56,bookcorpus,16,2,5106,4096,137,365,391,1168,4475,27,293,1866,216,1282,902,910,2580,1964,755,695,1331,664,970,2309,1216,7092,278,2071,741,6345,32,76,2882,218,854,1568,46,1658,118,1304,668,210,13,4435,194,941,371,7419,749,303,85,4163,503,1058,0,1085,111,3686,3526,4738,1022,4023
57,bookcorpus,17,2,5567,4270,168,317,351,931,4529,6,385,2331,107,824,608,1344,2116,1429,684,614,1235,987,961,2526,862,7379,389,1751,1036,5869,18,12,4067,207,479,1208,57,1432,48,1290,537,332,7,5306,184,966,386,7361,489,273,84,4500,775,401,0,1083,98,3195,2992,5386,1113,4442
58,bookcorpus,18,2,5136,4536,135,298,399,1174,4607,28,497,2494,96,1207,707,1422,2097,1694,925,614,1224,954,762,2361,1274,6571,147,1873,973,5846,27,40,3753,369,661,1482,72,1602,75,1291,561,351,12,4494,229,896,550,6433,630,238,61,4329,1127,1211,0,867,52,2883,3009,5042,1029,4877
59,bookcorpus,19,2,5089,4327,190,233,405,1164,4300,14,288,2179,172,1263,1108,1024,1936,1789,651,521,1354,655,858,2279,794,7098,265,2347,642,6433,22,38,3165,178,687,1709,20,1769,120,951,521,482,11,4500,299,773,463,7114,539,260,77,5473,683,619,0,875,93,2804,3619,5477,1185,4400
60,bookcorpus,0,3,1209,1318,1369,2496,692,1246,91,925,4840,467,1402,677,1229,685,781,3008,3179,1739,333,1944,229,1055,2683,1283,2192,752,3479,511,79,498,274,1302,736,3040,463,116,1120,331,3821,1190,412,5336,2265,0,1781,170,379,5020,44,20,668,473,458,414,5941,1825,2870,9526,5368,550
61,bookcorpus,1,3,830,1220,1051,2245,1365,1344,322,1043,4195,395,2322,545,1571,659,1028,2551,3628,1765,364,2814,169,1305,2743,1588,1417,578,3035,721,184,789,376,1721,638,3224,518,207,1238,235,3601,1596,299,5340,2296,0,1739,152,305,4691,41,33,556,456,646,460,6015,1321,3465,9044,3851,454
