,dataset,scheduling_policy,iteration,layer_idx,0,1,2,3,4,5,6,7
187,bookcorpus,deepspeed,7,6,0,0,512,0,0,0,0,0
188,bookcorpus,deepspeed,8,6,0,0,511,1,0,0,0,0
189,bookcorpus,deepspeed,9,6,0,0,512,0,0,0,0,0
190,bookcorpus,deepspeed,10,6,0,0,510,2,0,0,0,0
191,bookcorpus,deepspeed,11,6,0,0,512,0,0,0,0,0
192,bookcorpus,deepspeed,12,6,0,0,512,0,0,0,0,0
193,bookcorpus,deepspeed,13,6,0,0,512,0,0,0,0,0
194,bookcorpus,deepspeed,14,6,0,0,512,0,0,0,0,0
195,bookcorpus,deepspeed,15,6,0,0,511,1,0,0,0,0
196,bookcorpus,deepspeed,16,6,0,0,512,0,0,0,0,0
197,bookcorpus,deepspeed,17,6,0,0,512,0,0,0,0,0
198,bookcorpus,deepspeed,18,6,0,0,511,1,0,0,0,0
199,bookcorpus,deepspeed,19,6,0,0,512,0,0,0,0,0
200,bookcorpus,deepspeed,20,6,0,0,512,0,0,0,0,0
201,bookcorpus,deepspeed,21,6,1,0,511,0,0,0,0,0
202,bookcorpus,deepspeed,22,6,0,0,512,0,0,0,0,0
203,bookcorpus,deepspeed,23,6,0,0,512,0,0,0,0,0
204,bookcorpus,deepspeed,24,6,0,0,511,1,0,0,0,0
205,bookcorpus,deepspeed,25,6,0,0,512,0,0,0,0,0
206,bookcorpus,deepspeed,26,6,1,0,511,0,0,0,0,0
207,bookcorpus,deepspeed,27,6,0,0,512,0,0,0,0,0
208,bookcorpus,deepspeed,28,6,0,0,512,0,0,0,0,0
209,bookcorpus,deepspeed,29,6,0,0,512,0,0,0,0,0
210,bookcorpus,deepspeed,0,7,0,0,0,0,512,0,0,0
211,bookcorpus,deepspeed,1,7,0,0,0,0,512,0,0,0
212,bookcorpus,deepspeed,2,7,0,0,0,0,512,0,0,0
213,bookcorpus,deepspeed,3,7,0,0,0,0,512,0,0,0
214,bookcorpus,deepspeed,4,7,0,0,0,0,512,0,0,0
215,bookcorpus,deepspeed,5,7,0,0,0,0,512,0,0,0
216,bookcorpus,deepspeed,6,7,0,0,0,0,512,0,0,0
217,bookcorpus,deepspeed,7,7,0,0,0,0,512,0,0,0
218,bookcorpus,deepspeed,8,7,0,0,0,0,512,0,0,0
219,bookcorpus,deepspeed,9,7,0,0,0,0,512,0,0,0
220,bookcorpus,deepspeed,10,7,0,0,0,0,512,0,0,0
221,bookcorpus,deepspeed,11,7,0,0,0,0,512,0,0,0
222,bookcorpus,deepspeed,12,7,0,0,0,0,512,0,0,0
223,bookcorpus,deepspeed,13,7,0,0,0,0,512,0,0,0
224,bookcorpus,deepspeed,14,7,0,0,0,0,512,0,0,0
225,bookcorpus,deepspeed,15,7,0,0,0,0,512,0,0,0
226,bookcorpus,deepspeed,16,7,0,0,0,0,512,0,0,0
227,bookcorpus,deepspeed,17,7,0,0,0,0,512,0,0,0
228,bookcorpus,deepspeed,18,7,0,0,0,0,512,0,0,0
229,bookcorpus,deepspeed,19,7,0,0,0,0,512,0,0,0
230,bookcorpus,deepspeed,20,7,0,0,0,0,512,0,0,0
231,bookcorpus,deepspeed,21,7,0,0,0,0,512,0,0,0
232,bookcorpus,deepspeed,22,7,0,0,0,0,512,0,0,0
233,bookcorpus,deepspeed,23,7,0,0,0,0,512,0,0,0
234,bookcorpus,deepspeed,24,7,0,0,0,0,512,0,0,0
235,bookcorpus,deepspeed,25,7,0,0,0,0,512,0,0,0
236,bookcorpus,deepspeed,26,7,0,0,0,0,512,0,0,0
237,bookcorpus,deepspeed,27,7,0,0,0,0,512,0,0,0
238,bookcorpus,deepspeed,28,7,0,0,0,0,512,0,0,0
239,bookcorpus,deepspeed,29,7,0,0,0,0,512,0,0,0
240,bookcorpus,deepspeed,0,8,0,0,0,0,0,512,0,0
241,bookcorpus,deepspeed,1,8,0,0,0,0,0,512,0,0
242,bookcorpus,deepspeed,2,8,0,0,0,0,0,512,0,0
243,bookcorpus,deepspeed,3,8,0,0,0,0,0,512,0,0
244,bookcorpus,deepspeed,4,8,0,0,0,0,0,512,0,0
245,bookcorpus,deepspeed,5,8,0,0,0,0,0,512,0,0
246,bookcorpus,deepspeed,6,8,0,0,0,0,0,512,0,0
247,bookcorpus,deepspeed,7,8,0,0,0,0,0,512,0,0
248,bookcorpus,deepspeed,8,8,0,0,0,0,0,512,0,0
249,bookcorpus,deepspeed,9,8,0,0,0,0,0,512,0,0
250,bookcorpus,deepspeed,10,8,0,0,0,0,0,512,0,0
251,bookcorpus,deepspeed,11,8,0,0,0,0,0,512,0,0
252,bookcorpus,deepspeed,12,8,0,0,0,0,0,512,0,0
253,bookcorpus,deepspeed,13,8,0,0,0,0,0,512,0,0
254,bookcorpus,deepspeed,14,8,0,0,0,0,0,512,0,0
255,bookcorpus,deepspeed,15,8,0,0,0,0,0,512,0,0
256,bookcorpus,deepspeed,16,8,0,0,0,0,0,512,0,0
257,bookcorpus,deepspeed,17,8,0,0,0,0,0,512,0,0
258,bookcorpus,deepspeed,18,8,0,0,0,0,0,512,0,0
259,bookcorpus,deepspeed,19,8,0,0,0,0,0,512,0,0
260,bookcorpus,deepspeed,20,8,0,0,0,0,0,512,0,0
261,bookcorpus,deepspeed,21,8,0,0,0,0,0,512,0,0
262,bookcorpus,deepspeed,22,8,0,0,0,0,0,512,0,0
263,bookcorpus,deepspeed,23,8,0,0,0,0,0,512,0,0
264,bookcorpus,deepspeed,24,8,0,0,0,0,0,512,0,0
265,bookcorpus,deepspeed,25,8,0,0,0,0,0,512,0,0
266,bookcorpus,deepspeed,26,8,0,0,0,0,0,512,0,0
267,bookcorpus,deepspeed,27,8,0,0,0,0,0,512,0,0
268,bookcorpus,deepspeed,28,8,0,0,0,0,0,512,0,0
269,bookcorpus,deepspeed,29,8,0,0,0,0,0,512,0,0
270,bookcorpus,deepspeed,0,9,0,0,0,512,0,0,0,0
271,bookcorpus,deepspeed,1,9,0,0,0,512,0,0,0,0
272,bookcorpus,deepspeed,2,9,0,0,0,512,0,0,0,0
273,bookcorpus,deepspeed,3,9,0,0,0,512,0,0,0,0
274,bookcorpus,deepspeed,4,9,0,0,0,512,0,0,0,0
275,bookcorpus,deepspeed,5,9,0,0,0,512,0,0,0,0
276,bookcorpus,deepspeed,6,9,0,0,0,512,0,0,0,0
277,bookcorpus,deepspeed,7,9,0,0,0,512,0,0,0,0
278,bookcorpus,deepspeed,8,9,0,0,0,512,0,0,0,0
279,bookcorpus,deepspeed,9,9,0,0,0,512,0,0,0,0
280,bookcorpus,deepspeed,10,9,0,0,0,512,0,0,0,0
281,bookcorpus,deepspeed,11,9,0,0,0,512,0,0,0,0
282,bookcorpus,deepspeed,12,9,0,0,0,512,0,0,0,0
283,bookcorpus,deepspeed,13,9,0,0,0,512,0,0,0,0
284,bookcorpus,deepspeed,14,9,0,0,0,512,0,0,0,0
285,bookcorpus,deepspeed,15,9,0,0,0,512,0,0,0,0
286,bookcorpus,deepspeed,16,9,0,0,0,512,0,0,0,0
287,bookcorpus,deepspeed,17,9,0,0,0,512,0,0,0,0
288,bookcorpus,deepspeed,18,9,0,0,0,512,0,0,0,0
289,bookcorpus,deepspeed,19,9,0,0,0,512,0,0,0,0
290,bookcorpus,deepspeed,20,9,0,0,0,512,0,0,0,0
291,bookcorpus,deepspeed,21,9,0,0,0,512,0,0,0,0
292,bookcorpus,deepspeed,22,9,0,0,0,512,0,0,0,0
293,bookcorpus,deepspeed,23,9,0,0,0,512,0,0,0,0
294,bookcorpus,deepspeed,24,9,0,0,0,512,0,0,0,0
295,bookcorpus,deepspeed,25,9,0,0,0,512,0,0,0,0
296,bookcorpus,deepspeed,26,9,0,0,0,512,0,0,0,0
297,bookcorpus,deepspeed,27,9,0,0,0,512,0,0,0,0
298,bookcorpus,deepspeed,28,9,0,0,0,512,0,0,0,0
299,bookcorpus,deepspeed,29,9,0,0,0,512,0,0,0,0
300,bookcorpus,deepspeed,0,10,437,53,0,0,22,0,0,0
301,bookcorpus,deepspeed,1,10,437,45,0,0,30,0,0,0
302,bookcorpus,deepspeed,2,10,437,43,0,0,32,0,0,0
303,bookcorpus,deepspeed,3,10,433,43,0,0,36,0,0,0
304,bookcorpus,deepspeed,4,10,439,48,0,0,25,0,0,0
305,bookcorpus,deepspeed,5,10,441,48,0,0,23,0,0,0
306,bookcorpus,deepspeed,6,10,440,47,0,0,25,0,0,0
307,bookcorpus,deepspeed,7,10,448,43,0,0,21,0,0,0
308,bookcorpus,deepspeed,8,10,442,39,0,0,31,0,0,0
309,bookcorpus,deepspeed,9,10,428,63,0,0,21,0,0,0
310,bookcorpus,deepspeed,10,10,441,51,0,0,20,0,0,0
311,bookcorpus,deepspeed,11,10,432,49,0,0,31,0,0,0
312,bookcorpus,deepspeed,12,10,429,49,0,0,34,0,0,0
313,bookcorpus,deepspeed,13,10,437,44,0,0,31,0,0,0
314,bookcorpus,deepspeed,14,10,431,59,0,0,22,0,0,0
315,bookcorpus,deepspeed,15,10,443,49,0,0,20,0,0,0
316,bookcorpus,deepspeed,16,10,426,52,0,0,34,0,0,0
317,bookcorpus,deepspeed,17,10,436,54,0,0,22,0,0,0
318,bookcorpus,deepspeed,18,10,434,49,0,0,29,0,0,0
319,bookcorpus,deepspeed,19,10,433,52,0,0,27,0,0,0
320,bookcorpus,deepspeed,20,10,432,50,0,0,30,0,0,0
321,bookcorpus,deepspeed,21,10,440,44,0,0,28,0,0,0
322,bookcorpus,deepspeed,22,10,433,54,0,0,25,0,0,0
323,bookcorpus,deepspeed,23,10,431,49,0,0,32,0,0,0
324,bookcorpus,deepspeed,24,10,449,46,0,0,17,0,0,0
325,bookcorpus,deepspeed,25,10,432,62,0,0,18,0,0,0
326,bookcorpus,deepspeed,26,10,422,61,0,0,29,0,0,0
327,bookcorpus,deepspeed,27,10,433,47,0,0,32,0,0,0
328,bookcorpus,deepspeed,28,10,442,48,0,0,22,0,0,0
329,bookcorpus,deepspeed,29,10,442,43,0,0,27,0,0,0
330,bookcorpus,deepspeed,0,11,0,21,144,347,0,0,0,0
331,bookcorpus,deepspeed,1,11,0,16,162,334,0,0,0,0
332,bookcorpus,deepspeed,2,11,0,14,153,345,0,0,0,0
333,bookcorpus,deepspeed,3,11,0,18,162,332,0,0,0,0
334,bookcorpus,deepspeed,4,11,0,16,177,319,0,0,0,0
335,bookcorpus,deepspeed,5,11,0,26,161,325,0,0,0,0
