,dataset,scheduling_policy,iteration,layer_idx,0,1,2,3,4,5
189,bookcorpus,deepspeed,9,9,15900,24192,18792,20967,12965,5488
190,bookcorpus,deepspeed,10,9,16042,26152,16809,20305,13121,5875
191,bookcorpus,deepspeed,11,9,16807,25526,18206,17294,13936,6535
192,bookcorpus,deepspeed,12,9,15634,23583,17367,20320,14266,7134
193,bookcorpus,deepspeed,13,9,14748,23150,20949,19711,13577,6169
194,bookcorpus,deepspeed,14,9,16079,24315,17970,21667,13215,5058
195,bookcorpus,deepspeed,15,9,14077,23463,18589,21079,16446,4650
196,bookcorpus,deepspeed,16,9,16346,23662,17833,19885,13552,7026
197,bookcorpus,deepspeed,17,9,17935,24336,17041,20643,12642,5707
198,bookcorpus,deepspeed,18,9,17028,24920,16567,19499,13039,7251
199,bookcorpus,deepspeed,19,9,15342,24890,19229,19754,13517,5572
200,bookcorpus,deepspeed,0,10,17393,25435,32406,14339,6379,2352
201,bookcorpus,deepspeed,1,10,16245,23095,35540,15030,5756,2638
202,bookcorpus,deepspeed,2,10,18265,23216,31975,14989,6773,3086
203,bookcorpus,deepspeed,3,10,17519,22716,33427,16075,5751,2816
204,bookcorpus,deepspeed,4,10,19083,23375,29200,17225,6952,2469
205,bookcorpus,deepspeed,5,10,17164,24165,32883,15231,6363,2498
206,bookcorpus,deepspeed,6,10,17175,26295,32926,14255,5429,2224
207,bookcorpus,deepspeed,7,10,17294,25725,29826,17468,5767,2224
208,bookcorpus,deepspeed,8,10,15773,26370,34261,14463,4994,2443
209,bookcorpus,deepspeed,9,10,18749,25800,29222,14619,7243,2671
210,bookcorpus,deepspeed,10,10,20170,24117,28914,17212,5155,2736
211,bookcorpus,deepspeed,11,10,19089,22904,31629,15934,6054,2694
212,bookcorpus,deepspeed,12,10,15777,26204,29733,16139,6910,3541
213,bookcorpus,deepspeed,13,10,16917,26603,30477,16650,5760,1897
214,bookcorpus,deepspeed,14,10,18089,22275,31441,18005,5764,2730
215,bookcorpus,deepspeed,15,10,17840,25487,32343,13668,6252,2714
216,bookcorpus,deepspeed,16,10,19143,25138,28672,16393,5886,3072
217,bookcorpus,deepspeed,17,10,17124,19976,33877,17433,7508,2386
218,bookcorpus,deepspeed,18,10,16177,26978,29698,17198,5991,2262
219,bookcorpus,deepspeed,19,10,18564,24922,32070,13971,6108,2669
220,bookcorpus,deepspeed,0,11,4013,5609,14895,32871,35040,5876
221,bookcorpus,deepspeed,1,11,4287,5676,15800,36466,29462,6613
222,bookcorpus,deepspeed,2,11,4238,4997,15058,34419,32416,7176
223,bookcorpus,deepspeed,3,11,4222,5421,12478,35886,33314,6983
224,bookcorpus,deepspeed,4,11,4930,5161,15275,38543,28243,6152
225,bookcorpus,deepspeed,5,11,3608,5080,16143,32254,35029,6190
226,bookcorpus,deepspeed,6,11,4696,4127,17445,33785,31676,6575
227,bookcorpus,deepspeed,7,11,4760,5005,16095,32245,32089,8110
228,bookcorpus,deepspeed,8,11,4531,4549,10836,38127,34094,6167
229,bookcorpus,deepspeed,9,11,4854,4356,15394,34875,31330,7495
230,bookcorpus,deepspeed,10,11,4712,4974,15850,36362,30220,6186
231,bookcorpus,deepspeed,11,11,4736,5084,15087,34726,30827,7844
232,bookcorpus,deepspeed,12,11,4501,4925,13189,33105,34496,8088
233,bookcorpus,deepspeed,13,11,4131,4164,18311,34661,30204,6833
234,bookcorpus,deepspeed,14,11,4141,5344,16036,34684,31391,6708
235,bookcorpus,deepspeed,15,11,4141,4287,14401,41584,25738,8153
236,bookcorpus,deepspeed,16,11,5556,5341,13270,33608,35017,5512
237,bookcorpus,deepspeed,17,11,3490,5278,15304,35343,32147,6742
238,bookcorpus,deepspeed,18,11,4617,5754,14864,36505,30748,5816
239,bookcorpus,deepspeed,19,11,4183,6226,12498,34666,32225,8506
240,bookcorpus,drop,0,0,32768,27203,32768,32768,28090,27636
241,bookcorpus,drop,1,0,32768,27642,32768,32768,27565,28482
242,bookcorpus,drop,2,0,32768,28925,32768,31936,27453,27324
243,bookcorpus,drop,3,0,32768,27994,32768,32247,27901,27261
244,bookcorpus,drop,4,0,32768,27307,32768,32768,27886,28756
245,bookcorpus,drop,5,0,32768,27629,32768,32594,27516,28530
246,bookcorpus,drop,6,0,32768,27995,32768,31513,27773,28781
247,bookcorpus,drop,7,0,32768,28664,32768,32362,27523,28383
248,bookcorpus,drop,8,0,32768,27631,32768,32768,26701,27540
249,bookcorpus,drop,9,0,32768,26893,32768,32768,26908,27740
250,bookcorpus,drop,0,1,32720,32768,21654,31677,32768,24703
251,bookcorpus,drop,1,1,32768,32768,20584,32130,32768,25280
252,bookcorpus,drop,2,1,32768,32768,20002,31225,32768,24903
253,bookcorpus,drop,3,1,32768,32768,22926,30937,32768,24883
254,bookcorpus,drop,4,1,32768,32768,21901,30512,32768,25003
255,bookcorpus,drop,5,1,32768,32768,21766,30571,32768,26505
256,bookcorpus,drop,6,1,32668,32768,21870,32768,32768,25040
257,bookcorpus,drop,7,1,32768,32768,20566,30368,32768,27178
258,bookcorpus,drop,8,1,32768,32768,21772,32433,32768,23465
259,bookcorpus,drop,9,1,31456,32768,21173,32768,32768,25079
260,bookcorpus,drop,0,2,32768,21945,32768,19953,32768,32768
261,bookcorpus,drop,1,2,32768,18650,32768,20110,32768,32768
262,bookcorpus,drop,2,2,32768,18190,32768,19158,32768,32768
263,bookcorpus,drop,3,2,32768,21401,32768,18511,32768,32768
264,bookcorpus,drop,4,2,32768,20239,32768,19311,32768,32768
265,bookcorpus,drop,5,2,32768,19944,32768,19340,32768,32768
266,bookcorpus,drop,6,2,32768,21009,32768,19120,32768,32768
267,bookcorpus,drop,7,2,32768,20440,32768,18496,32768,32768
268,bookcorpus,drop,8,2,32768,21479,32768,19182,32768,32768
269,bookcorpus,drop,9,2,32768,21546,32768,19539,32768,32768
270,bookcorpus,drop,0,3,28289,32102,25716,25654,30346,32768
271,bookcorpus,drop,1,3,27981,31421,24212,26557,31793,32768
272,bookcorpus,drop,2,3,28361,32506,24669,25416,30952,32768
273,bookcorpus,drop,3,3,26832,32768,24223,25804,32199,32768
274,bookcorpus,drop,4,3,27619,32347,24199,27595,29650,32768
275,bookcorpus,drop,5,3,28013,32339,24961,26914,30586,32768
276,bookcorpus,drop,6,3,27213,32364,24298,27628,31540,32768
277,bookcorpus,drop,7,3,26338,32681,23053,26745,30604,32768
278,bookcorpus,drop,8,3,27245,32527,24657,26367,31086,32768
279,bookcorpus,drop,9,3,28012,32768,23720,25177,30725,32768
280,bookcorpus,drop,0,4,28192,32768,32768,22120,27057,32768
281,bookcorpus,drop,1,4,30477,31524,32768,22021,27863,32768
282,bookcorpus,drop,2,4,29625,32768,32768,23068,28808,32768
283,bookcorpus,drop,3,4,31485,32768,32768,23041,29299,32768
284,bookcorpus,drop,4,4,28387,32289,32768,22001,29491,32768
285,bookcorpus,drop,5,4,31083,32765,32768,22331,29908,32768
286,bookcorpus,drop,6,4,30635,32768,32768,22033,28893,32768
287,bookcorpus,drop,7,4,30620,32748,32768,22044,27407,32768
288,bookcorpus,drop,8,4,28119,30862,32768,21692,29534,32768
289,bookcorpus,drop,9,4,28478,31772,32768,23421,28499,32768
290,bookcorpus,drop,0,5,32768,32768,24668,32768,14373,15987
291,bookcorpus,drop,1,5,32768,32768,25134,32768,12460,13988
292,bookcorpus,drop,2,5,32768,32768,26274,32768,14286,15497
293,bookcorpus,drop,3,5,32768,32768,24498,32146,14064,16165
294,bookcorpus,drop,4,5,32768,32768,25767,32768,14381,15868
295,bookcorpus,drop,5,5,32768,32768,22986,32768,13004,15214
296,bookcorpus,drop,6,5,32768,32768,26680,32285,14305,17121
297,bookcorpus,drop,7,5,32768,32768,24789,32768,13344,16468
298,bookcorpus,drop,8,5,32768,32768,24764,32768,15473,16839
299,bookcorpus,drop,9,5,32768,32768,24073,32768,13806,15215
300,bookcorpus,drop,0,6,32557,32768,28528,11359,32768,16285
301,bookcorpus,drop,1,6,32768,32768,25831,11780,32768,18433
302,bookcorpus,drop,2,6,30966,32768,28004,12426,32768,16946
303,bookcorpus,drop,3,6,29934,32768,26011,13448,32768,20156
304,bookcorpus,drop,4,6,30005,32768,26066,12771,32768,17288
305,bookcorpus,drop,5,6,32514,32768,26517,12095,32768,18184
306,bookcorpus,drop,6,6,32768,32768,27157,12603,32768,17915
307,bookcorpus,drop,7,6,32567,32768,25307,13260,32768,18471
308,bookcorpus,drop,8,6,30268,32768,27598,13590,32768,16494
309,bookcorpus,drop,9,6,31201,32768,26365,12165,32768,17734
310,bookcorpus,drop,0,7,32768,32768,32768,12351,32768,29650
311,bookcorpus,drop,1,7,32768,32768,32560,12006,32768,29419
312,bookcorpus,drop,2,7,32768,32768,32431,11267,32768,30369
313,bookcorpus,drop,3,7,32768,32768,31557,11611,32768,30964
314,bookcorpus,drop,4,7,32768,32768,32768,12443,32768,30065
315,bookcorpus,drop,5,7,32768,32768,32768,12891,32768,30104
316,bookcorpus,drop,6,7,32768,32768,32090,12042,32768,30053
317,bookcorpus,drop,7,7,31851,32768,32768,11072,32768,29236
318,bookcorpus,drop,8,7,32768,32768,32768,12415,32768,30885
319,bookcorpus,drop,9,7,32768,32768,32169,12121,32768,30447
320,bookcorpus,drop,0,8,17556,32768,32768,14240,32101,32768
321,bookcorpus,drop,1,8,18339,32768,32768,13826,32378,29916
322,bookcorpus,drop,2,8,18309,32768,32768,12159,29248,30800
323,bookcorpus,drop,3,8,17563,32768,32768,12761,27687,31481
324,bookcorpus,drop,4,8,17975,32768,32768,12789,31403,32768
325,bookcorpus,drop,5,8,17736,32768,32768,15623,30276,31305
326,bookcorpus,drop,6,8,17502,32768,32768,14355,28354,32292
327,bookcorpus,drop,7,8,18172,32768,32768,14892,31036,30554
328,bookcorpus,drop,8,8,17102,32768,32768,14661,32636,32768
329,bookcorpus,drop,9,8,17831,32768,32768,14350,31573,32768
330,bookcorpus,drop,0,9,32655,32768,32768,32768,30960,10370
331,bookcorpus,drop,1,9,31082,32768,32768,32768,30725,9793
332,bookcorpus,drop,2,9,32062,32768,32768,32768,28099,11248
333,bookcorpus,drop,3,9,32739,32768,31486,32768,30231,11594
334,bookcorpus,drop,4,9,30478,32768,32768,32768,27927,10617
335,bookcorpus,drop,5,9,32744,32768,32768,32768,26392,11552
336,bookcorpus,drop,6,9,30529,32768,32768,32768,28162,13834
337,bookcorpus,drop,7,9,31650,32768,32768,32768,29901,10018
338,bookcorpus,drop,8,9,32768,32768,32768,32768,26350,12527
339,bookcorpus,drop,9,9,32306,32768,32768,32768,26921,12981
340,bookcorpus,drop,0,10,32749,32768,32768,29628,11972,4964
341,bookcorpus,drop,1,10,32768,32768,32768,30134,12682,6272
342,bookcorpus,drop,2,10,32768,32768,32768,32691,13836,4782
343,bookcorpus,drop,3,10,32768,32768,32768,32128,11038,4328
344,bookcorpus,drop,4,10,32768,32768,32768,30296,12648,4725
345,bookcorpus,drop,5,10,32768,32768,32768,32768,11213,5234
346,bookcorpus,drop,6,10,32768,32768,32768,32768,12835,5274
347,bookcorpus,drop,7,10,32768,32768,32768,31608,12488,5200
348,bookcorpus,drop,8,10,32768,32768,32768,32768,13584,6002
349,bookcorpus,drop,9,10,32768,32768,32768,30700,12023,4922
350,bookcorpus,drop,0,11,8195,11297,30022,32768,32768,13070
351,bookcorpus,drop,1,11,8620,10492,27426,32768,32768,14950
352,bookcorpus,drop,2,11,8316,10563,30362,32768,32768,12915
353,bookcorpus,drop,3,11,9560,8776,32768,32768,32768,13667
354,bookcorpus,drop,4,11,9614,8774,26514,32768,32768,13813
355,bookcorpus,drop,5,11,8957,9891,30840,32768,32768,14327
356,bookcorpus,drop,6,11,8626,9743,31898,32768,32768,14482
357,bookcorpus,drop,7,11,8325,9721,31050,32768,32768,15548
358,bookcorpus,drop,8,11,9088,10809,28871,32768,32768,12400
359,bookcorpus,drop,9,11,8939,11410,26391,32768,32768,15096
360,bookcorpus,even_split,0,0,32926,32859,32799,32728,32670,32626
361,bookcorpus,even_split,1,0,32918,32859,32809,32733,32676,32613
362,bookcorpus,even_split,2,0,32919,32855,32797,32737,32677,32623
363,bookcorpus,even_split,3,0,32916,32863,32791,32734,32682,32622
364,bookcorpus,even_split,4,0,32918,32856,32790,32741,32681,32622
365,bookcorpus,even_split,5,0,32910,32852,32806,32740,32676,32624
366,bookcorpus,even_split,6,0,32916,32857,32805,32744,32671,32615
367,bookcorpus,even_split,7,0,32914,32860,32805,32737,32678,32614
368,bookcorpus,even_split,8,0,32917,32849,32797,32738,32683,32624
369,bookcorpus,even_split,9,0,32908,32858,32806,32745,32681,32610
370,bookcorpus,even_split,0,1,32919,32862,32805,32741,32673,32608
371,bookcorpus,even_split,1,1,32912,32858,32805,32743,32676,32614
372,bookcorpus,even_split,2,1,32917,32842,32794,32745,32687,32623
373,bookcorpus,even_split,3,1,32927,32860,32795,32728,32674,32624
374,bookcorpus,even_split,4,1,32920,32860,32792,32738,32675,32623
375,bookcorpus,even_split,5,1,32909,32854,32805,32749,32676,32615
376,bookcorpus,even_split,6,1,32909,32857,32797,32741,32681,32623
377,bookcorpus,even_split,7,1,32924,32874,32799,32728,32673,32610
378,bookcorpus,even_split,8,1,32919,32859,32802,32751,32668,32609
379,bookcorpus,even_split,9,1,32911,32859,32794,32744,32691,32609
380,bookcorpus,even_split,0,2,32904,32852,32795,32747,32689,32621
381,bookcorpus,even_split,1,2,32913,32859,32790,32740,32688,32618
382,bookcorpus,even_split,2,2,32917,32859,32795,32741,32677,32619
383,bookcorpus,even_split,3,2,32900,32851,32804,32752,32688,32613
384,bookcorpus,even_split,4,2,32917,32850,32795,32741,32682,32623
