iteration,throughput (toks/s),scheduling_policy
114,120.0450971264932,exflow
115,114.32428601714165,exflow
116,122.60568872905405,exflow
117,123.84707654723294,exflow
118,70.04304497980976,exflow
119,108.64825460808147,exflow
120,114.975088404336,exflow
121,120.423677443551,exflow
122,124.80978806009749,exflow
123,121.512734518377,exflow
124,95.40970377612342,exflow
125,99.37164677329952,exflow
126,93.61509361435336,exflow
127,104.3904346814611,exflow
128,106.58832797550221,exflow
129,115.15563232854774,exflow
130,100.17432840732246,exflow
131,114.25920872091802,exflow
132,98.18775362632196,exflow
133,110.95149530516171,exflow
134,100.21569928177449,exflow
135,119.44642559434992,exflow
136,93.92191002508451,exflow
137,102.15064341838618,exflow
138,100.90487909804055,exflow
139,114.42270222426994,exflow
140,94.36532289488757,exflow
141,98.87904019944112,exflow
142,102.70264531082961,exflow
143,127.79638561099932,exflow
144,116.06473862075883,exflow
145,91.84501152358945,exflow
146,98.48897139337699,exflow
147,95.13609500822781,exflow
148,105.12879944983072,exflow
149,73.32458054568184,exflow
150,98.62058427468253,exflow
151,115.11059678075958,exflow
152,118.39277136963067,exflow
153,113.79141109842533,exflow
154,106.70570200304263,exflow
155,101.68994069291217,exflow
156,117.32211768851373,exflow
157,107.69351041069154,exflow
158,117.9396687151234,exflow
159,110.66416405815413,exflow
160,100.65510938443673,exflow
161,114.77288099649,exflow
162,115.54624998732584,exflow
163,74.97940182310327,exflow
164,97.85807996990278,exflow
165,103.32745670109549,exflow
166,112.71984857708821,exflow
167,112.36281157539425,exflow
168,117.94475860547134,exflow
169,121.57062755289255,exflow
170,108.80213057557536,exflow
171,72.90597445839549,exflow
172,97.13799622049777,exflow
173,93.09505585505046,exflow
174,99.3111580315409,exflow
175,69.78949397225058,exflow
176,95.62965384864454,exflow
177,106.65876282287871,exflow
178,96.8187834729291,exflow
179,101.0187979865811,exflow
0,162.8146818944601,harmony
1,178.99906528018505,harmony
2,180.10860006452927,harmony
3,182.55742913657457,harmony
4,181.2021254010947,harmony
5,185.0263594996057,harmony
6,184.61767155754626,harmony
7,180.6084391838606,harmony
8,176.76547648062896,harmony
9,180.49201008947514,harmony
10,177.85119567846877,harmony
11,181.11741465425206,harmony
12,181.35891840855598,harmony
13,182.58645464313878,harmony
14,180.17439403261218,harmony
15,179.64869298829367,harmony
16,181.67791538592277,harmony
17,181.95498225766548,harmony
18,185.07895049826476,harmony
19,178.52611277067072,harmony
20,177.51228691957172,harmony
21,179.20614187309604,harmony
22,183.83410478615204,harmony
23,184.29080735864423,harmony
24,179.21471129062112,harmony
25,184.41372673739448,harmony
26,184.43365108838154,harmony
27,179.4670459223523,harmony
28,179.13258030622688,harmony
29,179.3720225792465,harmony
30,181.17911744385577,harmony
31,182.43256956298168,harmony
32,182.69329208077463,harmony
33,179.05277882440262,harmony
34,180.56901560086132,harmony
35,182.81768404879514,harmony
36,181.83213062140746,harmony
37,183.88573668612173,harmony
38,178.3897062665479,harmony
39,187.0961848118386,harmony
40,181.10658509400918,harmony
41,179.86375378135534,harmony
42,175.33357092335729,harmony
43,177.82704281768287,harmony
44,181.3193808801542,harmony
45,176.349134363461,harmony
46,179.76907747415618,harmony
47,183.17137772537203,harmony
48,181.1912398451978,harmony
49,179.8493833066342,harmony
50,181.50918646329256,harmony
51,185.9754517462557,harmony
52,183.75940008153074,harmony
53,179.94127945550153,harmony
54,177.14266077313977,harmony
55,181.3955465808305,harmony
56,179.91758061583806,harmony
57,180.11065445455412,harmony
58,182.88597094241283,harmony
59,180.68920798878716,harmony
60,182.51015439839225,harmony
61,179.24940112715552,harmony
62,178.4800719145111,harmony
63,180.13580942618654,harmony
64,182.14123971148607,harmony
65,181.91931446350463,harmony
66,181.7208539955114,harmony
67,180.15921816931504,harmony
68,180.64660351095552,harmony
69,156.385932397506,harmony
70,174.77616459799833,harmony
71,181.28607371304057,harmony
72,182.13000933428705,harmony
73,182.72260956590563,harmony
74,179.31131971965266,harmony
75,177.57417100138372,harmony
76,181.2858135489701,harmony
77,180.73765832234452,harmony
78,183.15589589501658,harmony
79,180.08786241333493,harmony
80,181.43126984776046,harmony
81,181.46449238861567,harmony
82,178.5390999033429,harmony
83,179.4363648213477,harmony
84,128.15754994557068,harmony
85,161.4151885069406,harmony
86,169.1731515949506,harmony
87,174.5689048426799,harmony
88,125.81100518105089,harmony
89,175.7906298419534,harmony
90,175.90246828059128,harmony
91,172.60866837285974,harmony
92,176.39900864234403,harmony
93,179.99904513865607,harmony
94,139.18882197980315,harmony
95,162.4669662234847,harmony
96,180.9965605756063,harmony
97,169.24261387297196,harmony
98,182.82714713070294,harmony
