iteration,throughput (toks/s),system_name
96,19.013674059707707,fastermoe
97,23.229124759576276,fastermoe
98,19.32651174220898,fastermoe
99,19.199685063759713,fastermoe
100,18.03072071980092,fastermoe
101,17.415909654769358,fastermoe
102,19.79300334539174,fastermoe
103,28.88187424774305,fastermoe
104,21.514041374169203,fastermoe
105,20.51974782695729,fastermoe
106,31.33324929100962,fastermoe
107,17.731667322819042,fastermoe
108,25.237859159506016,fastermoe
109,18.71128279804261,fastermoe
110,27.792385036446976,fastermoe
111,19.495760014393774,fastermoe
112,29.954517996820748,fastermoe
113,28.12997040385837,fastermoe
114,28.480047078528344,fastermoe
115,24.031736323236085,fastermoe
116,27.836668867865047,fastermoe
117,29.384849228782432,fastermoe
118,17.599792152316265,fastermoe
119,23.181045498623714,fastermoe
120,24.754691888443755,fastermoe
121,29.15625893362722,fastermoe
122,29.180177492923328,fastermoe
123,27.901348983003352,fastermoe
124,18.802003787921237,fastermoe
125,20.039236280460493,fastermoe
126,17.92075107314475,fastermoe
127,21.204249895256627,fastermoe
128,22.198735467702956,fastermoe
129,26.8358311930597,fastermoe
130,19.919063102538853,fastermoe
131,25.083356195667694,fastermoe
132,19.084225297960863,fastermoe
133,23.961677805252638,fastermoe
134,19.62219562957486,fastermoe
135,26.495277541183988,fastermoe
136,17.38259079844194,fastermoe
137,20.87882670892351,fastermoe
138,18.932302027472947,fastermoe
139,32.33348719021046,fastermoe
140,28.62074910779883,fastermoe
141,18.839899226870735,fastermoe
142,21.066759307703578,fastermoe
143,33.153768705197685,fastermoe
144,25.250482555387574,fastermoe
145,16.87203967498,fastermoe
146,19.01902671721111,fastermoe
147,18.01786943253803,fastermoe
148,21.615889671095353,fastermoe
149,17.660912116066253,fastermoe
150,23.197338454125223,fastermoe
151,25.9139066573854,fastermoe
152,26.77540042090211,fastermoe
153,25.433261098768828,fastermoe
154,23.099461657434222,fastermoe
155,21.99522352629617,fastermoe
156,27.532926014727146,fastermoe
157,23.094639034764715,fastermoe
158,25.322309542394617,fastermoe
159,23.432678647373944,fastermoe
160,20.75058677340796,fastermoe
161,25.21695768594768,fastermoe
162,27.09743775276834,fastermoe
163,18.14468733704158,fastermoe
164,19.13680657724916,fastermoe
165,29.576700927818877,fastermoe
166,24.1311641407204,fastermoe
167,24.491696185420356,fastermoe
168,29.109254739569476,fastermoe
169,28.515205817750008,fastermoe
170,22.523244878904045,fastermoe
171,17.56896430454504,fastermoe
172,19.538933534474626,fastermoe
173,18.86758038795543,fastermoe
174,19.620845520430468,fastermoe
175,17.25665180487765,fastermoe
176,18.285202767285636,fastermoe
177,22.939886521241142,fastermoe
178,17.93645187402701,fastermoe
179,20.25640965788193,fastermoe
0,29.315746402924837,fastmoe
1,34.464867426220174,fastmoe
2,30.06343577443664,fastmoe
3,20.50891994713411,fastmoe
4,27.762621636760635,fastmoe
5,20.195584602504482,fastmoe
6,19.84456767326021,fastmoe
7,21.67972432804962,fastmoe
8,32.05659813755543,fastmoe
9,30.94307380139476,fastmoe
10,26.396037734661636,fastmoe
11,24.447946716587488,fastmoe
12,17.269417422429125,fastmoe
13,18.95146730687118,fastmoe
14,23.267638423584746,fastmoe
15,29.26810784941694,fastmoe
16,24.047816942525067,fastmoe
17,17.46088532428205,fastmoe
18,17.846887020458183,fastmoe
19,25.09218471091963,fastmoe
20,26.001566345476295,fastmoe
21,25.592261454551835,fastmoe
22,19.88466167650299,fastmoe
23,17.917637811421347,fastmoe
24,28.969505600606883,fastmoe
25,21.40495700117568,fastmoe
26,35.44233907553661,fastmoe
27,21.317778457804735,fastmoe
28,32.095335265069586,fastmoe
29,20.73458417870789,fastmoe
30,27.72560427774494,fastmoe
31,18.959494947345146,fastmoe
32,24.678884921611683,fastmoe
33,19.171649589678044,fastmoe
34,21.23599664150609,fastmoe
35,25.064020215888114,fastmoe
36,18.11068131785886,fastmoe
37,24.034823327388892,fastmoe
38,30.043409006460045,fastmoe
39,34.29023179383205,fastmoe
40,23.70368584249174,fastmoe
41,27.070897828321375,fastmoe
42,25.60606914684165,fastmoe
43,18.307819925770822,fastmoe
44,18.968229914704175,fastmoe
45,17.214213145885935,fastmoe
46,23.691602206876034,fastmoe
47,18.318111079892446,fastmoe
48,23.12649498268442,fastmoe
49,19.579110749252823,fastmoe
50,22.44018824530206,fastmoe
51,18.60397778684598,fastmoe
52,17.211034466250567,fastmoe
53,27.004390953691104,fastmoe
54,20.169828159332017,fastmoe
55,17.412740394678167,fastmoe
56,21.191023687024764,fastmoe
57,27.96625267818248,fastmoe
58,18.37127633849419,fastmoe
59,20.598852428153982,fastmoe
60,19.999915759123546,fastmoe
61,29.956942694417645,fastmoe
62,30.88183559596371,fastmoe
63,32.42208004699856,fastmoe
64,21.468836655782596,fastmoe
65,17.540255100769524,fastmoe
66,19.094944444180985,fastmoe
67,26.01725829050034,fastmoe
68,25.358517031291527,fastmoe
